"year","name","female","male","maleprop","femaleprop","maletotal","femaletotal"
1882,"Alexis",0,6,1,0,60143,328320
1887,"Alexis",0,5,1,0,60143,328320
1895,"Alexis",0,5,1,0,60143,328320
1907,"Alexis",0,5,1,0,60143,328320
1911,"Alexis",0,8,1,0,60143,328320
1912,"Alexis",0,14,1,0,60143,328320
1913,"Alexis",0,6,1,0,60143,328320
1914,"Alexis",0,14,1,0,60143,328320
1915,"Alexis",0,14,1,0,60143,328320
1916,"Alexis",0,20,1,0,60143,328320
1917,"Alexis",0,19,1,0,60143,328320
1918,"Alexis",0,13,1,0,60143,328320
1919,"Alexis",0,18,1,0,60143,328320
1920,"Alexis",0,19,1,0,60143,328320
1921,"Alexis",0,19,1,0,60143,328320
1922,"Alexis",0,9,1,0,60143,328320
1923,"Alexis",0,17,1,0,60143,328320
1924,"Alexis",0,14,1,0,60143,328320
1925,"Alexis",0,18,1,0,60143,328320
1926,"Alexis",0,13,1,0,60143,328320
1927,"Alexis",0,11,1,0,60143,328320
1928,"Alexis",0,8,1,0,60143,328320
1929,"Alexis",0,11,1,0,60143,328320
1930,"Alexis",0,8,1,0,60143,328320
1931,"Alexis",5,12,0.705882352941177,0.294117647058824,60143,328320
1932,"Alexis",0,11,1,0,60143,328320
1933,"Alexis",0,13,1,0,60143,328320
1934,"Alexis",0,11,1,0,60143,328320
1935,"Alexis",0,9,1,0,60143,328320
1937,"Alexis",0,12,1,0,60143,328320
1938,"Alexis",0,5,1,0,60143,328320
1939,"Alexis",0,13,1,0,60143,328320
1940,"Alexis",0,7,1,0,60143,328320
1941,"Alexis",5,7,0.583333333333333,0.416666666666667,60143,328320
1942,"Alexis",36,16,0.307692307692308,0.692307692307692,60143,328320
1943,"Alexis",88,11,0.111111111111111,0.888888888888889,60143,328320
1944,"Alexis",124,23,0.156462585034014,0.843537414965986,60143,328320
1945,"Alexis",122,15,0.109489051094891,0.89051094890511,60143,328320
1946,"Alexis",221,16,0.0675105485232067,0.932489451476793,60143,328320
1947,"Alexis",248,16,0.0606060606060606,0.939393939393939,60143,328320
1948,"Alexis",217,14,0.0606060606060606,0.939393939393939,60143,328320
1949,"Alexis",269,22,0.0756013745704467,0.924398625429553,60143,328320
1950,"Alexis",230,18,0.0725806451612903,0.92741935483871,60143,328320
1951,"Alexis",252,20,0.0735294117647059,0.926470588235294,60143,328320
1952,"Alexis",252,27,0.0967741935483871,0.903225806451613,60143,328320
1953,"Alexis",216,27,0.111111111111111,0.888888888888889,60143,328320
1954,"Alexis",177,33,0.157142857142857,0.842857142857143,60143,328320
1955,"Alexis",174,30,0.147058823529412,0.852941176470588,60143,328320
1956,"Alexis",182,45,0.198237885462555,0.801762114537445,60143,328320
1957,"Alexis",193,35,0.153508771929825,0.846491228070175,60143,328320
1958,"Alexis",186,46,0.198275862068966,0.801724137931034,60143,328320
1959,"Alexis",168,49,0.225806451612903,0.774193548387097,60143,328320
1960,"Alexis",169,65,0.277777777777778,0.722222222222222,60143,328320
1961,"Alexis",154,69,0.309417040358744,0.690582959641256,60143,328320
1962,"Alexis",154,76,0.330434782608696,0.669565217391304,60143,328320
1963,"Alexis",173,66,0.276150627615063,0.723849372384937,60143,328320
1964,"Alexis",104,86,0.452631578947368,0.547368421052632,60143,328320
1965,"Alexis",166,105,0.387453874538745,0.612546125461255,60143,328320
1966,"Alexis",186,103,0.356401384083045,0.643598615916955,60143,328320
1967,"Alexis",185,139,0.429012345679012,0.570987654320988,60143,328320
1968,"Alexis",174,110,0.387323943661972,0.612676056338028,60143,328320
1969,"Alexis",204,134,0.396449704142012,0.603550295857988,60143,328320
1970,"Alexis",356,124,0.258333333333333,0.741666666666667,60143,328320
1971,"Alexis",344,157,0.313373253493014,0.686626746506986,60143,328320
1972,"Alexis",398,135,0.25328330206379,0.74671669793621,60143,328320
1973,"Alexis",491,152,0.236391912908243,0.763608087091757,60143,328320
1974,"Alexis",601,180,0.230473751600512,0.769526248399488,60143,328320
1975,"Alexis",678,217,0.242458100558659,0.757541899441341,60143,328320
1976,"Alexis",692,214,0.236203090507726,0.763796909492274,60143,328320
1977,"Alexis",726,239,0.247668393782383,0.752331606217617,60143,328320
1978,"Alexis",771,254,0.24780487804878,0.75219512195122,60143,328320
1979,"Alexis",1011,330,0.246085011185682,0.753914988814318,60143,328320
1980,"Alexis",1268,350,0.216316440049444,0.783683559950556,60143,328320
1981,"Alexis",1585,406,0.203917629331994,0.796082370668006,60143,328320
1982,"Alexis",3122,761,0.19598248776719,0.80401751223281,60143,328320
1983,"Alexis",3463,658,0.159669983013832,0.840330016986168,60143,328320
1984,"Alexis",3290,475,0.126162018592297,0.873837981407703,60143,328320
1985,"Alexis",2515,519,0.171061305207647,0.828938694792353,60143,328320
1986,"Alexis",2194,429,0.163553183377812,0.836446816622188,60143,328320
1987,"Alexis",2458,476,0.162235855487389,0.837764144512611,60143,328320
1988,"Alexis",2901,417,0.125678119349005,0.874321880650995,60143,328320
1989,"Alexis",3513,550,0.135367954713266,0.864632045286734,60143,328320
1990,"Alexis",5255,736,0.122850943081289,0.877149056918711,60143,328320
1991,"Alexis",7007,757,0.0975012879958784,0.902498712004122,60143,328320
1992,"Alexis",7948,766,0.08790452145972,0.91209547854028,60143,328320
1993,"Alexis",10830,1099,0.092128426523598,0.907871573476402,60143,328320
1994,"Alexis",13036,1288,0.0899190170343479,0.910080982965652,60143,328320
1995,"Alexis",14330,1880,0.115977791486737,0.884022208513263,60143,328320
1996,"Alexis",16587,1795,0.0976498748775976,0.902350125122402,60143,328320
1997,"Alexis",17172,3182,0.156332907536602,0.843667092463398,60143,328320
1998,"Alexis",19777,2316,0.104829584031141,0.895170415968859,60143,328320
1999,"Alexis",19232,2434,0.112341918212868,0.887658081787132,60143,328320
2000,"Alexis",17627,2714,0.133425102010717,0.866574897989283,60143,328320
2001,"Alexis",16396,2768,0.144437486954707,0.855562513045293,60143,328320
2002,"Alexis",15633,2379,0.132078614257162,0.867921385742838,60143,328320
2003,"Alexis",14857,2720,0.154747681629402,0.845252318370598,60143,328320
2004,"Alexis",13465,4175,0.236678004535147,0.763321995464853,60143,328320
2005,"Alexis",11962,3049,0.203117713676637,0.796882286323363,60143,328320
2006,"Alexis",11219,3200,0.221929398710035,0.778070601289965,60143,328320
2007,"Alexis",9901,2653,0.211327067070257,0.788672932929743,60143,328320
2008,"Alexis",9713,2340,0.194142537127686,0.805857462872314,60143,328320
2009,"Alexis",9922,2018,0.169011725293132,0.830988274706868,60143,328320
2010,"Alexis",8249,1621,0.164235055724417,0.835764944275583,60143,328320
2011,"Alexis",6510,1481,0.185333500187711,0.814666499812289,60143,328320
2012,"Alexis",5337,1559,0.226073085846868,0.773926914153132,60143,328320
2013,"Alexis",4756,1188,0.199865410497981,0.800134589502019,60143,328320
2014,"Alexis",4188,1172,0.21865671641791,0.78134328358209,60143,328320
1888,"Angel",0,8,1,0,209691,91734
1890,"Angel",0,5,1,0,209691,91734
1891,"Angel",0,5,1,0,209691,91734
1894,"Angel",5,0,0,1,209691,91734
1896,"Angel",0,5,1,0,209691,91734
1899,"Angel",0,7,1,0,209691,91734
1900,"Angel",0,6,1,0,209691,91734
1907,"Angel",6,9,0.6,0.4,209691,91734
1908,"Angel",7,9,0.5625,0.4375,209691,91734
1909,"Angel",6,10,0.625,0.375,209691,91734
1910,"Angel",0,13,1,0,209691,91734
1911,"Angel",0,12,1,0,209691,91734
1912,"Angel",8,26,0.764705882352941,0.235294117647059,209691,91734
1913,"Angel",7,30,0.810810810810811,0.189189189189189,209691,91734
1914,"Angel",7,37,0.840909090909091,0.159090909090909,209691,91734
1915,"Angel",10,30,0.75,0.25,209691,91734
1916,"Angel",15,63,0.807692307692308,0.192307692307692,209691,91734
1917,"Angel",11,55,0.833333333333333,0.166666666666667,209691,91734
1918,"Angel",8,55,0.873015873015873,0.126984126984127,209691,91734
1919,"Angel",10,70,0.875,0.125,209691,91734
1920,"Angel",12,85,0.876288659793814,0.123711340206186,209691,91734
1921,"Angel",17,70,0.804597701149425,0.195402298850575,209691,91734
1922,"Angel",12,90,0.882352941176471,0.117647058823529,209691,91734
1923,"Angel",18,82,0.82,0.18,209691,91734
1924,"Angel",20,112,0.848484848484849,0.151515151515152,209691,91734
1925,"Angel",19,122,0.865248226950355,0.134751773049645,209691,91734
1926,"Angel",19,129,0.871621621621622,0.128378378378378,209691,91734
1927,"Angel",20,131,0.867549668874172,0.132450331125828,209691,91734
1928,"Angel",19,136,0.87741935483871,0.12258064516129,209691,91734
1929,"Angel",13,131,0.909722222222222,0.0902777777777778,209691,91734
1930,"Angel",21,166,0.887700534759358,0.112299465240642,209691,91734
1931,"Angel",18,107,0.856,0.144,209691,91734
1932,"Angel",20,125,0.862068965517241,0.137931034482759,209691,91734
1933,"Angel",14,100,0.87719298245614,0.12280701754386,209691,91734
1934,"Angel",14,119,0.894736842105263,0.105263157894737,209691,91734
1935,"Angel",15,94,0.862385321100917,0.137614678899083,209691,91734
1936,"Angel",13,97,0.881818181818182,0.118181818181818,209691,91734
1937,"Angel",13,103,0.887931034482759,0.112068965517241,209691,91734
1938,"Angel",14,91,0.866666666666667,0.133333333333333,209691,91734
1939,"Angel",21,86,0.803738317757009,0.196261682242991,209691,91734
1940,"Angel",19,90,0.825688073394495,0.174311926605505,209691,91734
1941,"Angel",42,108,0.72,0.28,209691,91734
1942,"Angel",31,105,0.772058823529412,0.227941176470588,209691,91734
1943,"Angel",39,117,0.75,0.25,209691,91734
1944,"Angel",31,114,0.786206896551724,0.213793103448276,209691,91734
1945,"Angel",24,125,0.838926174496644,0.161073825503356,209691,91734
1946,"Angel",39,137,0.778409090909091,0.221590909090909,209691,91734
1947,"Angel",42,171,0.802816901408451,0.197183098591549,209691,91734
1948,"Angel",52,223,0.810909090909091,0.189090909090909,209691,91734
1949,"Angel",53,186,0.778242677824268,0.221757322175732,209691,91734
